id,area,screen,persona,story,expected,status
"UAT-ACCOUNT-SECURITY-S1","Account & secure shell","Security","Member","As a Member, I want to change my password, so that I can keep my account secure.","With correct current password and a valid matching new password, submitting changes the password, shows the confirmation, and signs out other sessions.",""
"UAT-ACCOUNT-SECURITY-S2","Account & secure shell","Security","Member","As a Member, I want to revoke a stray session, so that I can sign out a device I no longer trust.","Signing out other sessions (or revoking one) updates the list and the revoked session can no longer act.",""
"UAT-ACCOUNT-APIKEYS-S1","Account & secure shell","API keys","Member","As a Member, I want to create an API key and copy its secret once, so that a script can call the API as me.","Creating a key reveals the plaintext secret exactly once and lists the key as Active with its prefix, scopes, and metadata.",""
"UAT-ACCOUNT-APIKEYS-S2","Account & secure shell","API keys","Member","As a Member, I want to rotate and then revoke a key, so that I can replace a leaked secret and later retire it.","Rotating reveals a new secret once and keeps the key active; revoking (after confirmation) marks it Revoked and removes its action buttons.",""
"UAT-ACCOUNT-APIKEYS-S3","Account & secure shell","API keys","Member","As a Member, I want to be stopped from granting scopes I do not hold, so that a key can never exceed my own permissions.","The scope picker omits ungrantable scopes, and a tampered request naming an admin scope is rejected 403 with the ungrantable scopes listed.",""
"UAT-ACCOUNT-DOCS-LANDING-S1","Account & secure shell","Documentation landing","Member","As a Member, I want to browse the documentation catalog, so that I can find guidance for the platform.","The landing shows available documents grouped as clickable cards, and clicking one opens its article.",""
"UAT-ACCOUNT-DOCS-LANDING-S2","Account & secure shell","Documentation landing","Member","As a Member, I want internal/maintainer docs hidden from me, so that the catalog only shows what I am meant to read.","With DOCS_INTERNAL_VISIBLE false, no visibility=internal document (e.g. the UAT set) is listed in the catalog.",""
"UAT-ACCOUNT-DOCS-ARTICLE-S1","Account & secure shell","Documentation article","Member","As a Member, I want to read a document with a table of contents, so that I can navigate a long article.","The article shows breadcrumbs, the rendered body, an On this page list, and a Last updated line when the doc has a date.",""
"UAT-ACCOUNT-DOCS-ARTICLE-S2","Account & secure shell","Documentation article","Member","As a Member, I want a hidden or unknown document to 404, so that guessing a URL never leaks a maintainer-only doc.","A hidden (internal/requires), non-existent, or traversal slug returns Not Found (404), never Forbidden and never the content.",""
"UAT-ADMIN-AEK-APPS-LIST-S1","Administrator: Apps, Email, API Keys & Audit","Enterprise applications list","Org Admin","As an Org Admin, I want to browse the enterprise applications, so that I can see which apps are wired for SSO in my org.","A grid with columns Id, Label, Subdomain, Status, Organization, Sort order, Created at loads sorted by Sort order ascending; search and the Status filter narrow the rows; the Organization column shows the org slug and never 'Global' for an Org Admin.",""
"UAT-ADMIN-AEK-APPS-LIST-S2","Administrator: Apps, Email, API Keys & Audit","Enterprise applications list","Member","As a Member, I want to be sure I cannot reach the apps list, so that tenancy is enforced.","Navigating to the apps list URL returns the Not-Found page (HTTP 404), not Forbidden; the Apps sidebar group was never offered.",""
"UAT-ADMIN-AEK-APPS-LIST-S3","Administrator: Apps, Email, API Keys & Audit","Enterprise applications list","Org Admin","As an Org Admin, I want to delete an unused application, so that stale SSO targets are removed.","Confirming Delete on an unused app removes the row; deleting an app still referenced by an SSO handoff shows an inline 'application in use' alert and the row remains.",""
"UAT-ADMIN-AEK-APPS-NEW-S1","Administrator: Apps, Email, API Keys & Audit","Create enterprise application","Org Admin","As an Org Admin, I want to register a new app, so that users in my org can launch it via SSO.","Submitting valid values redirects to the new app's detail page; re-submitting the same Id shows an 'already taken' error on the Id field with no navigation.",""
"UAT-ADMIN-AEK-APPS-NEW-S2","Administrator: Apps, Email, API Keys & Audit","Create enterprise application","Org Admin","As an Org Admin, I want the form to stop me submitting a non-HTTPS or untrusted origin, so that SSO redirects stay safe.","A non-HTTPS origin shows an 'invalid origin' error; a well-formed HTTPS origin not on the allow-list shows 'origin not allowed'; each cleared required field shows its asterisk and a localized required message with a red border.",""
"UAT-ADMIN-AEK-APPS-NEW-S3","Administrator: Apps, Email, API Keys & Audit","Create enterprise application","Member","As a Member, I want the create page to be unreachable, so that only managers can add apps.","Opening the create URL returns the Not-Found page (404).",""
"UAT-ADMIN-AEK-APPS-DETAIL-S1","Administrator: Apps, Email, API Keys & Audit","Enterprise application detail","Org Admin","As an Org Admin, I want to change an app's status and label, so that I can disable or rename it without recreating it.","Editing Status and Label and clicking Save shows a success message; the values persist after reload; the Id is displayed read-only with no input.",""
"UAT-ADMIN-AEK-APPS-DETAIL-S2","Administrator: Apps, Email, API Keys & Audit","Enterprise application detail","Limited Admin","As a read-only admin, I want to inspect an app without being able to change it, so that least privilege holds.","With admin.apps.read but not manage, every field is disabled and there is no Save button and no required legend.",""
"UAT-ADMIN-AEK-APPS-DETAIL-S3","Administrator: Apps, Email, API Keys & Audit","Enterprise application detail","Org Admin","As an Org Admin, I want another org's app to be indistinguishable from a missing one, so that cross-tenant existence never leaks.","Opening an appId owned by a different org returns Not Found (404), identical to opening a non-existent id.",""
"UAT-ADMIN-AEK-EMAIL-OUTBOX-S1","Administrator: Apps, Email, API Keys & Audit","Email outbox","Org Admin","As an Org Admin, I want to see whether the system tried to email a user, so that I can debug delivery.","The outbox grid shows Created at, To, Subject, Template, Status newest first; the Status and Template filters narrow rows; View opens a panel with From/To/Template/Provider/timestamps and the body rendered as plain text.",""
"UAT-ADMIN-AEK-EMAIL-OUTBOX-S2","Administrator: Apps, Email, API Keys & Audit","Email outbox","Org Admin","As an Org Admin, I want to send a test email, so that I can confirm rendering and provider wiring end to end.","Entering an address and clicking Send shows a delivery-status result and adds a new test_email row near the top; with no provider configured the status is 'logged'.",""
"UAT-ADMIN-AEK-EMAIL-OUTBOX-S3","Administrator: Apps, Email, API Keys & Audit","Email outbox","Limited Admin","As a read-only email admin, I want the outbox without the Send action, so that I cannot generate mail.","With admin.email.read but not manage, the outbox grid renders but the Send test email control is absent.",""
"UAT-ADMIN-AEK-EMAIL-OUTBOX-S4","Administrator: Apps, Email, API Keys & Audit","Email outbox","Member","As a Member, I want the outbox to be unreachable, so that mail contents stay admin-only.","Opening the outbox URL returns the Not-Found page (404).",""
"UAT-ADMIN-AEK-EMAIL-TEMPLATES-S1","Administrator: Apps, Email, API Keys & Audit","Email templates list","Org Admin","As an admin, I want to see every template and locale, so that I know what the system can send.","A table of Key, Locale, Subject, Updated at loads ordered by key then locale; a multi-locale key shows one row per locale with its localized subject.",""
"UAT-ADMIN-AEK-EMAIL-TEMPLATES-S2","Administrator: Apps, Email, API Keys & Audit","Email templates list","Member","As a Member, I want the templates list to be unreachable, so that message copy stays admin-only.","Opening the templates URL returns the Not-Found page (404).",""
"UAT-ADMIN-AEK-EMAIL-TEMPLATE-EDIT-S1","Administrator: Apps, Email, API Keys & Audit","Edit email template","Superadmin","As a Superadmin, I want to edit a template in a specific locale, so that I can adjust the wording users receive.","Editing a non-English template's Subject and HTML body and clicking Save returns to the templates list, refreshes Updated at, and the changes persist on re-open; key and locale are read-only.",""
"UAT-ADMIN-AEK-EMAIL-TEMPLATE-EDIT-S2","Administrator: Apps, Email, API Keys & Audit","Edit email template","Org Admin","As an Org Admin, I want a clear Forbidden result if I try to save a global template, so that platform config stays superadmin-controlled.","An Org Admin can open the editor but clicking Save shows a red 'forbidden' alert with no redirect and no change; the template is unchanged when re-opened as Superadmin.",""
"UAT-ADMIN-AEK-EMAIL-TEMPLATE-EDIT-S3","Administrator: Apps, Email, API Keys & Audit","Edit email template","Superadmin","As a Superadmin, I want required-field validation, so that I cannot ship an empty subject or body.","Clearing the Subject or the HTML body shows a required error with a red border and blocks submission; Text body and Description are optional.",""
"UAT-ADMIN-AEK-APIKEYS-LIST-S1","Administrator: Apps, Email, API Keys & Audit","API keys governance","Org Admin","As an Org Admin, I want to review issued keys and their status, so that I can govern machine access.","The grid shows Name, Prefix (drk_env_...), Owner, Scopes, Status, Last used, Expires, Created newest first; the prefix is always truncated and never a full secret; the Status filter and the detail panel work and contain no secret.",""
"UAT-ADMIN-AEK-APIKEYS-LIST-S2","Administrator: Apps, Email, API Keys & Audit","API keys governance","Org Admin","As an Org Admin, I want to rotate a key, so that I can replace a possibly-leaked secret without disruption.","Confirming Rotate on an active key reveals a new secret exactly once with a copy button and once-only warning; the original key becomes Revoked and no longer offers Rotate/Revoke.",""
"UAT-ADMIN-AEK-APIKEYS-LIST-S3","Administrator: Apps, Email, API Keys & Audit","API keys governance","Org Admin","As an Org Admin, I want to revoke a key, so that I can cut off access immediately.","Confirming Revoke on an active key flips its status to Revoked after refresh; the detail panel then shows Revoked-by and Revoked-at.",""
"UAT-ADMIN-AEK-APIKEYS-LIST-S4","Administrator: Apps, Email, API Keys & Audit","API keys governance","Limited Admin","As a read-only admin, I want the inventory without destructive controls, so that I can audit without acting.","With admin.apikeys.read but not manage, rows show a View action only, and there is no New API key button and no Rotate/Revoke.",""
"UAT-ADMIN-AEK-APIKEYS-LIST-S5","Administrator: Apps, Email, API Keys & Audit","API keys governance","Member","As a Member, I want the governance list to be unreachable, so that only admins govern keys.","Opening the API keys list URL returns the Not-Found page (404).",""
"UAT-ADMIN-AEK-APIKEYS-NEW-S1","Administrator: Apps, Email, API Keys & Audit","Issue an API key","Org Admin","As an Org Admin, I want to issue a scoped key for a user, so that their integration can call the API as themselves.","Submitting a valid owner UUID and grantable scopes reveals the new drk_env_... secret exactly once with a copy button; closing the dialog returns to the list where the new key appears.",""
"UAT-ADMIN-AEK-APIKEYS-NEW-S2","Administrator: Apps, Email, API Keys & Audit","Issue an API key","Org Admin","As an Org Admin, I want clear errors when the owner is wrong or the scopes are too broad, so that I cannot mint an over-privileged key.","A missing owner shows 'owner not found' (404); an inactive owner shows 'owner inactive' (409); scopes the owner lacks show an error naming the ungrantable scopes (422); a cleared Name shows a required error.",""
"UAT-ADMIN-AEK-APIKEYS-NEW-S3","Administrator: Apps, Email, API Keys & Audit","Issue an API key","Org Admin","As an Org Admin, I want a foreign-org user to look identical to a missing user, so that cross-tenant existence never leaks.","Submitting the UUID of an active user in a different org returns 'owner not found' (404), indistinguishable from a non-existent id.",""
"UAT-ADMIN-AEK-AUDIT-LOG-S1","Administrator: Apps, Email, API Keys & Audit","Audit log","Limited Admin","As a Limited Admin, I want to scan recent activity, so that I can see who did what.","With admin.audit.read the grid loads Created at, Event type, Outcome, Actor, Target newest first at page size 50; Outcome badges are colour-coded (success muted, error/denied destructive).",""
"UAT-ADMIN-AEK-AUDIT-LOG-S2","Administrator: Apps, Email, API Keys & Audit","Audit log","Org Admin","As an Org Admin, I want to filter the log, so that I can find a specific event class or actor.","Setting Event type, Outcome, or Actor narrows the grid and updates the URL so a shared link reproduces the view; View opens a panel with actor, target ids, IP, user agent, reason, and full JSON metadata.",""
"UAT-ADMIN-AEK-AUDIT-LOG-S3","Administrator: Apps, Email, API Keys & Audit","Audit log","Org Admin","As an Org Admin, I want the log confined to my org, so that I never see another tenant's activity.","Only the Org Admin's own org events appear; ORG B events and org-less platform events never show, and filtering by a foreign actor returns no rows.",""
"UAT-ADMIN-AEK-AUDIT-LOG-S4","Administrator: Apps, Email, API Keys & Audit","Audit log","Member","As a Member, I want the audit log unreachable, so that activity data stays admin-only.","Opening the audit log URL returns the Not-Found page (404).",""
"UAT-ADMIN-ORG-LIST-S1","Administrator: Organizations & Memberships","Organizations list","Superadmin","See every organization with its member count so I can pick one to administer.","All seeded orgs appear with member count and status badge; a New organization button is visible; clicking a slug opens the org detail.",""
"UAT-ADMIN-ORG-LIST-S2","Administrator: Organizations & Memberships","Organizations list","Org Admin","The list shows only my organization so I cannot see or act on other tenants.","Exactly one row (org-a) is shown; no New organization button; searching org-b returns nothing (server-scoped).",""
"UAT-ADMIN-ORG-LIST-S3","Administrator: Organizations & Memberships","Organizations list","Member / Limited Admin","The organizations screen is unreachable so non-tenancy users never see tenant data.","Direct navigation returns Not Found (404), not Forbidden; the Organizations nav link is absent.",""
"UAT-ADMIN-ORG-LIST-S4","Administrator: Organizations & Memberships","Organizations list","Superadmin","Filter and sort the list so I can find an org in a large estate.","Status/Default filters narrow the rows; member-count sort re-orders and updates the URL; search matches slug/name.",""
"UAT-ADMIN-ORG-NEW-S1","Administrator: Organizations & Memberships","New organization","Superadmin","Create a new organization so I can onboard a new tenant.","Entering a unique slug and name and submitting creates the org and redirects to its detail page.",""
"UAT-ADMIN-ORG-NEW-S2","Administrator: Organizations & Memberships","New organization","Org Admin","The create form is unreachable so I cannot spin up new tenants.","Direct navigation to /organizations/new returns Not Found (404); no New organization button was ever shown.",""
"UAT-ADMIN-ORG-DETAIL-S1","Administrator: Organizations & Memberships","Org detail — Members","Org Admin","Add a user to my organization so they gain membership.","Adding an existing user by id creates an active membership row; the grid refreshes; the member name links to the user detail.",""
"UAT-ADMIN-ORG-DETAIL-S2","Administrator: Organizations & Memberships","Org detail — Members","Org Admin","Remove a member so they lose access to the org.","Confirming Remove deletes the row; a failed remove shows an inline alert; a repeat removal reports not found.",""
"UAT-ADMIN-ORG-DETAIL-S3","Administrator: Organizations & Memberships","Org detail — Providers","Org Admin","Bind and unbind a provider organization so SSO/provisioning maps to my org.","Adding a binding shows a new row; removing and confirming deletes it; a duplicate provider+key is rejected.",""
"UAT-ADMIN-ORG-DETAIL-S4","Administrator: Organizations & Memberships","Org detail — Settings","Superadmin","Rename an organization and change its status so I can correct tenant records.","Editing name/status and saving shows a success message; the header reflects the change on reload.",""
"UAT-ADMIN-ORG-DETAIL-S5","Administrator: Organizations & Memberships","Org detail — Settings","Org Admin","The Settings save is refused so I cannot mutate the org record at the platform level.","Editing a field and saving is rejected with a forbidden inline alert (SUPERADMIN-only); the record is unchanged on reload.",""
"UAT-ADMIN-ORG-DETAIL-S6","Administrator: Organizations & Memberships","Org detail","Org Admin","A foreign organization is indistinguishable from a missing one so cross-tenant existence is never leaked.","Opening a foreign org's detail URL returns Not Found (404), not Forbidden; a non-UUID id also returns 404.",""
"UAT-ADMIN-ORG-MEMBERSHIPS-S1","Administrator: Organizations & Memberships","Memberships (cross-org)","Superadmin","Search memberships across all orgs so I can locate a user's tenancy footprint.","Searching a cross-org member shows their membership in each of the three orgs; org and user cells link out.",""
"UAT-ADMIN-ORG-MEMBERSHIPS-S2","Administrator: Organizations & Memberships","Memberships (cross-org)","Org Admin","The memberships screen is scoped to my org so I only see my own tenants' members.","Every row belongs to org-a; a cross-org member appears only via their org-a membership; the status filter works.",""
"UAT-ADMIN-ORG-MEMBERSHIPS-S3","Administrator: Organizations & Memberships","Memberships (cross-org)","Member / Limited Admin","The memberships screen is unreachable so membership data is not exposed to non-tenancy users.","Direct navigation returns Not Found (404); the Memberships nav link is absent.",""
"UAT-ADMIN-ORG-JOURNEY-S1","Administrator: Organizations & Memberships","Org lifecycle journey","Superadmin","Create an org, add members, and confirm an Org Admin of that org sees only it so tenancy isolation holds end to end.","New org is created and a member added; the Org Admin sees only their own org and gets 404 on the new org's URL; deleting an org with dependents returns 409.",""
"UAT-ADMIN-RGP-ROLES-LIST-S1","Administrator: Roles, Groups & Permissions","Roles list","Org Admin","As an Org Admin, I want to browse my org's roles, so that I can find the one to edit.","A grid lists Key/Name/Scope/Organization/Permission count/Member count/Created; only my org's roles appear; search and sort work; clicking a key opens role detail.",""
"UAT-ADMIN-RGP-ROLES-LIST-S2","Administrator: Roles, Groups & Permissions","Roles list","Org Admin","As an Org Admin, I want to delete an unused role and be blocked from deleting one still in use.","Deleting a role bundled into a group or assigned to a user is refused inline with the localized role-in-use message (409); a role with no user and no group reference deletes and the grid refreshes.",""
"UAT-ADMIN-RGP-ROLES-LIST-S3","Administrator: Roles, Groups & Permissions","Roles list","Org Admin","As an Org Admin, I want to duplicate a role to start a new one from an existing permission set.","A copy is created with a -copy key suffix (subset-limited for a non-Superadmin) and I land on its detail page with the source permissions pre-assigned.",""
"UAT-ADMIN-RGP-ROLES-LIST-S4","Administrator: Roles, Groups & Permissions","Roles list","Member","As a Member, I want roles administration hidden so that I cannot reach it.","No Roles nav link is shown; opening the roles URL directly returns Not Found (404, never 403).",""
"UAT-ADMIN-RGP-ROLES-NEW-S1","Administrator: Roles, Groups & Permissions","Create role","Org Admin","As an Org Admin, I want to create a role in my org to define a new bundle of permissions.","No org picker; blank submit shows required errors on Key and Name; an invalid key pattern is rejected; a valid submit creates the role in my org and navigates to its detail; a duplicate key returns 409 on the Key field.",""
"UAT-ADMIN-RGP-ROLES-NEW-S2","Administrator: Roles, Groups & Permissions","Create role","Superadmin","As a Superadmin, I want to create a Global or org-scoped role.","The org picker includes a Global option; a Global role is created with no owning org (Global badge); choosing an org scopes it there; an org admin forging Global is rejected 403 server-side.",""
"UAT-ADMIN-RGP-ROLES-DETAIL-S1","Administrator: Roles, Groups & Permissions","Role detail - Permissions tab","Org Admin","As an Org Admin, I want to add and remove permissions via the dual-list editor.","Moving keys between Available and Assigned and clicking Save persists the diff (POST additions, DELETE removals) with a saved status; Save is disabled until dirty; a non-Superadmin adding an unheld key is refused 403 and the set is unchanged.",""
"UAT-ADMIN-RGP-ROLES-DETAIL-S2","Administrator: Roles, Groups & Permissions","Role detail - Members tab","Org Admin","As an Org Admin, I want to see who holds a role.","The Members tab lists users with email/name/organization/assigned-at; search filters; each email links to the user's admin detail.",""
"UAT-ADMIN-RGP-ROLES-DETAIL-S3","Administrator: Roles, Groups & Permissions","Role detail - Settings tab","Org Admin","As an Org Admin, I want to rename a role and edit its description while the key stays fixed.","Key is read-only; clearing Name shows a required error; a valid Name/Description save persists with a saved status.",""
"UAT-ADMIN-RGP-ROLES-DETAIL-S4","Administrator: Roles, Groups & Permissions","Role detail","Org Admin","As an Org Admin, I want another tenant's role to be invisible.","Opening a role UUID owned by another org or a Global role returns Not Found (404, not 403); an invalid non-UUID id also returns 404.",""
"UAT-ADMIN-RGP-GROUPS-LIST-S1","Administrator: Roles, Groups & Permissions","Groups list","Org Admin","As an Org Admin, I want to browse groups to manage cohorts.","A grid lists Key/Name/Role count/Member count/Created for my org only; the seed Engineering and Customer Support groups appear; search filters; clicking a key opens group detail.",""
"UAT-ADMIN-RGP-GROUPS-LIST-S2","Administrator: Roles, Groups & Permissions","Groups list","Org Admin","As an Org Admin, I want to delete a group without stripping users' directly-held roles.","Confirming delete removes the group and cascades its role bundles and memberships (no in-use block); a former member keeps any directly-assigned role.",""
"UAT-ADMIN-RGP-GROUPS-LIST-S3","Administrator: Roles, Groups & Permissions","Groups list","Limited Admin","As a Limited Admin, I want groups administration hidden so that I cannot reach it.","The seed admin role lacks admin.groups.read; no Groups nav link; opening the groups URL returns Not Found (404, not 403).",""
"UAT-ADMIN-RGP-GROUPS-NEW-S1","Administrator: Roles, Groups & Permissions","Create group","Org Admin","As an Org Admin, I want to create a group to bundle roles for a cohort.","No org picker; blank submit shows required errors; an invalid key pattern is rejected; a valid submit creates the group in my org and navigates to its detail; a duplicate key returns 409 on the Key field.",""
"UAT-ADMIN-RGP-GROUPS-NEW-S2","Administrator: Roles, Groups & Permissions","Create group","Superadmin","As a Superadmin, I want to create a group in a chosen org.","The org picker has no Global option; submitting without an org shows an organization-required error; choosing an org creates the group there and navigates to its detail.",""
"UAT-ADMIN-RGP-GROUPS-DETAIL-ROLES-S1","Administrator: Roles, Groups & Permissions","Group detail - Roles tab","Org Admin","As an Org Admin, I want to bundle and unbundle roles on a group so its members gain or lose those roles.","Moving roles between columns and Saving persists the diff with a saved status; only the group's own-org roles are offered (no foreign or Global roles).",""
"UAT-ADMIN-RGP-GROUPS-DETAIL-ROLES-S2","Administrator: Roles, Groups & Permissions","Group detail - Roles tab","Org Admin","As an Org Admin, I must not be able to bundle a role that out-authorizes me.","Bundling a role whose conferred permissions include a key I do not hold (e.g. a superuser-granting role) is refused 403 with the localized forbidden message; a Superadmin can bundle it.",""
"UAT-ADMIN-RGP-GROUPS-DETAIL-MEMBERS-S1","Administrator: Roles, Groups & Permissions","Group detail - Members tab","Org Admin","As an Org Admin, I want to add a user to a group so they inherit its roles.","The Add member dialog's picker searches server-side and is org-scoped; selecting an active org member and submitting adds them and refreshes the grid; each email links to the user's detail.",""
"UAT-ADMIN-RGP-GROUPS-DETAIL-MEMBERS-S2","Administrator: Roles, Groups & Permissions","Group detail - Members tab","Org Admin","As an Org Admin, I want to remove a member so they lose the group's conferred roles.","Clicking Remove opens a destructive confirm showing the email; confirming removes the row and refreshes the grid; directly-assigned roles are untouched.",""
"UAT-ADMIN-RGP-GROUPS-DETAIL-MEMBERS-S3","Administrator: Roles, Groups & Permissions","Group detail - Members tab","Org Admin","As an Org Admin, I want a clear message when a pick is not eligible.","Adding a user who is not an active member of the group's org shows an inline not-eligible message (added:0 / 404); adding any member to a group conferring a role I lack the permissions of is refused 403.",""
"UAT-ADMIN-RGP-GROUPS-DETAIL-SETTINGS-S1","Administrator: Roles, Groups & Permissions","Group detail - Settings tab","Org Admin","As an Org Admin, I want to rename a group and edit its description.","Key is read-only; clearing Name shows a required error; a valid Name/Description save persists with a saved status.",""
"UAT-ADMIN-RGP-GROUPS-DETAIL-S-404","Administrator: Roles, Groups & Permissions","Group detail","Org Admin","As an Org Admin, I want another tenant's group to be invisible.","Opening a group UUID owned by another org returns Not Found (404, not 403).",""
"UAT-ADMIN-RGP-PERMISSIONS-LIST-S1","Administrator: Roles, Groups & Permissions","Permissions catalog","Org Admin","As an Org Admin, I want to read the permission catalog and see which roles use a permission.","With admin.roles.read the grid lists Key/Description/Used-by-N-roles; search filters; clicking the count opens a slide-over listing roles, each linking to its detail.",""
"UAT-ADMIN-RGP-PERMISSIONS-LIST-S2","Administrator: Roles, Groups & Permissions","Permissions catalog","Org Admin","As an Org Admin, I want the catalog to stay read-only for me.","The manage buttons appear (admin.platform includes admin.permissions.manage) but any edit or delete is refused with 403 (Superadmin-only writes) and nothing persists.",""
"UAT-ADMIN-RGP-PERMISSIONS-LIST-S3","Administrator: Roles, Groups & Permissions","Permissions catalog","Superadmin","As a Superadmin, I want to edit a permission's description and delete an unused one.","Editing a description persists (key read-only); deleting a permission still attached to a role is refused inline with permission-in-use (409); an unused permission deletes.",""
"UAT-ADMIN-RGP-PERMISSIONS-LIST-S4","Administrator: Roles, Groups & Permissions","Permissions catalog","Member","As a Member, I want the catalog hidden so that I cannot reach it.","No Permissions nav link; opening the permissions URL returns Not Found (404, not 403).",""
"UAT-ADMIN-RGP-PERMISSIONS-NEW-S1","Administrator: Roles, Groups & Permissions","Create permission","Superadmin","As a Superadmin, I want to add a permission to the catalog.","Blank submit shows a required Key error; an invalid key pattern is rejected; a valid submit creates the permission and returns to the catalog; a duplicate key returns 409 on the Key field.",""
"UAT-ADMIN-RGP-PERMISSIONS-NEW-S2","Administrator: Roles, Groups & Permissions","Create permission","Org Admin","As an Org Admin, I must not be able to create a catalog permission.","The form opens (the role holds admin.permissions.manage) but submitting is refused 403 with a localized forbidden root error; no permission is created.",""
"UAT-ADMIN-USERS-ADMIN-LAYOUT-S1","Administrator: Users","Administrator console (layout guard)","Member","As a Member, I want the admin console to be invisible to me, so that the app never advertises tools I cannot use.","Visiting /en/app/administrator or /users as a member returns the app Not Found page (HTTP 404) — not Forbidden and not a partial admin shell.",""
"UAT-ADMIN-USERS-ADMIN-LAYOUT-S2","Administrator: Users","Administrator console (layout guard)","Org Admin","As an Org Admin, I want a sidebar that lists only the areas I can open, so that no link leads to a dead end.","Every visible sidebar link opens its screen without a 404; a Limited Admin's sidebar shows only the Users and Audit entries.",""
"UAT-ADMIN-USERS-ADMIN-OVERVIEW-S1","Administrator: Users","Administrator console overview","Org Admin","As an Org Admin, I want an at-a-glance dashboard of my organization, so that I can see counts and recent activity without opening each area.","Metric cards and recent-activity lists reflect ORG A only; clicking a card navigates to that area's list.",""
"UAT-ADMIN-USERS-ADMIN-OVERVIEW-S2","Administrator: Users","Administrator console overview","Superadmin","As a Superadmin, I want system-wide insight charts, so that I can compare organizations and spot platform-level trends.","The Most active organizations chart and the audit-event-volume chart appear for a superadmin and are absent for an org admin.",""
"UAT-ADMIN-USERS-ADMIN-OVERVIEW-S3","Administrator: Users","Administrator console overview","Limited Admin","As a Limited Admin, I want the dashboard to hide areas I cannot read, so that it never shows numbers I have no permission to see.","Only the Users card and the registrations/audit lists render; no Organizations/Roles/Permissions/Apps cards and no sessions list.",""
"UAT-ADMIN-USERS-USERS-LIST-S1","Administrator: Users","Users list","Org Admin","As an Org Admin, I want to search and filter the user directory, so that I can find a specific person quickly.","Search narrows to matching ORG A users; the status filter and column sort work; clicking an email opens that user's detail.",""
"UAT-ADMIN-USERS-USERS-LIST-S2","Administrator: Users","Users list","Org Admin","As an Org Admin, I want to approve several pending users at once, so that onboarding is fast.","Selecting pending users and choosing Approve shows a success toast with the count and the rows refresh to active.",""
"UAT-ADMIN-USERS-USERS-LIST-S3","Administrator: Users","Users list","Limited Admin","As a Limited Admin, I want the actions I lack to be hidden or refused, so that the screen never lets me start something I cannot finish.","The New user button is absent; Approve succeeds but the Ban bulk action is refused (requires admin.users.ban) with no rows changed.",""
"UAT-ADMIN-USERS-USERS-LIST-S4","Administrator: Users","Users list","Org Admin","As an Org Admin, I want to export the current view to CSV, so that I can share or archive it.","Clicking Export CSV downloads a CSV of the current filtered view.",""
